4th Hour?,Date,Title,Description,To do before class,To do during class,To do,For Further Exploration,,,,,Notes
FALSE,Nov 12,Anempathetic Music,"music that doesn't match the vibe, dramatic irony, switcheroo",Submit Reflection: Silence of the Lambs,,,Reservoir Dogs (1992); Goodfellas (1990); A Clockwork Orange (1971);,"Anempathetic Music (Face Off, experiment with layering benny hill on top of other stuff - SILENCE OF THE LAMBS) - bring up parallel to Switcheroo in Silence... - talk about Dramatic Irony like with Funny Games",,,,MONON BELL
FALSE,Nov 17,Diegetic Music,music the characters can hear,"Read: Ludwig Göransson - Sinners - Interview https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100172, Study for Score Identification Challenge","Challenge: Score Identification, Discuss Silence of the Lambs",,Blue Velvet (1986); Mulholland Drive (2001); Inside Llewyn Davis (2013); Baby Driver (2017); The Blues Brothers (1980),"Diegetic Music (Lost Boys, Lost Highway) - diegetic switch aka transdiegetic",,,,
TRUE,Nov 17,9:00pm Screening: Sinners - Korb Classroom,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Nov 19,Dialogue,the rhythm and music of speaking,"Submit Reflection: Sinners, Watch & Submit Reflection: Scenic Route - hoopla","Discuss Sinners, Discuss Scenic Route, Discuss Dialogue",,The Social Network (2010); The Witch (2015),"Silence (Ma, negative space - we're all going to the world's fair, The Witch both as examples of VERY QUIET in the key impactful moment)",,,Fallen?,
FALSE,Nov 24,NO CLASS (Thanksgiving break),,,,,,,No class,,,
FALSE,Nov 26,NO CLASS (Thanksgiving break),,,,,,,No class,,,
FALSE,Dec 1,Silence,the power of 'ma' (間 the silence between noises),,Discuss the role of silence (or negative space) in filmmaking,,"The Haunting (1963), 2001: A Space Odyssey (1968), Alien (1979), The Blair Witch Project (1999), Nope (2022)",Dialogue,,,,
TRUE,Dec 1,9:00pm Screening: Undertone - Salter Hall,,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Dec 3,Composition Techniques,"drone, sound wall, mickey mousing, oversaturation",Submit Reflection: Undertone,"Discuss Undertone, Talk through various composition techniques that feature in horror films",,The Thing (1982); Hereditary (2018); It Follows (2014); Late Night with the Devil (2023); The Birds (1963),"Horror Musicals (Repo, Sweeney Todd, Rocky Horror)",,,,
FALSE,Dec 8,Horror Musicals,A survey of scary (and not so scary) movie musicals,,Challenge: Vocabulary,"Repo, etc",The Phantom of the Opera (1925); The Rocky Horror Picture Show (1975); Little Shop of Horrors (1986); Sweeney Todd (2007); Repo! The Genetic Opera (2008); The Happiness of the Katakuris (2001),Open Topic,,,,QUIZ - vocab
TRUE,Dec 8,"9:00pm Screening: 28 Years Later, The Bone Temple - Salter Hall",,,,Attend screening and write reflection after. If you have an excused absence you can arrange to view the film on your own before the next class.,,,,,,
FALSE,Dec 10,Horror Music and Masculinity,"genre demographics, subject matter, musical interpretation","Submit Reflection: 28 Years Later, Read: Hildur Guðnadóttir - 28 Years Later - Interview https://wabash.instructure.com/courses/8208566/files/folder/Readings?preview=358100166","Discuss 28 Years Later, Explore horror music and masculinity",,The Thing (1982); The Lighthouse (2019); Men (2022),Open Topic,,,,
FALSE,Dec 18,9:00am–12:00pm On-Site Analysis Challenge,"listening & analysis, this is a low-key final that you cannot study for","If you have been engaged during the semester then you will already be prepared, Last day to turn in any late work or bonus projects",Challenge: On-Site Analysis,,,Open Topic,"(last day of class) last day to turn in anything late, extra work, etc",,,
FALSE,,,,,,,,Final Exam - listening session,finals week (when is my final),,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,Oversaturation,,,,,,
FALSE,,,,,,Fabula and Syuzhet (stories told out of time?),,,,,,
FALSE,,,,,,Rupture,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,Mickey Mousing,,,,,,
FALSE,,,,,,Drone and Sound Wall,,,,,,
FALSE,,,,", ",,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
