4th Hour?,Date,Title,Description,To do before class,To do during class,To do,Notes
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
FALSE,,,,,,,
